#Navio B MarAd
#Manobra de Curva                     de Zig-Zag
#
#velocidade no Sistema Solidário 
#
#temp           u           v           w dot                     roll   dot pitch     dot yaw 
 133.00        7.25334e+00        -3.30500e-01        0.00000e+00        0.00000e+00        0.00000e+00        -1.44335e-03 
 133.70        7.25318e+00        -3.18512e-01        0.00000e+00        0.00000e+00        0.00000e+00        -1.51353e-03 
 134.40        7.25303e+00        -3.06469e-01        0.00000e+00        0.00000e+00        0.00000e+00        -1.58388e-03 
 135.10        7.25287e+00        -2.94373e-01        0.00000e+00        0.00000e+00        0.00000e+00        -1.65441e-03 
 135.80        7.25272e+00        -2.82222e-01        0.00000e+00        0.00000e+00        0.00000e+00        -1.72514e-03 
 136.50        7.25256e+00        -2.70016e-01        0.00000e+00        0.00000e+00        0.00000e+00        -1.79609e-03 
 137.20        7.25240e+00        -2.57757e-01        0.00000e+00        0.00000e+00        0.00000e+00        -1.86727e-03 
 137.90        7.25223e+00        -2.45442e-01        0.00000e+00        0.00000e+00        0.00000e+00        -1.93870e-03 
 138.60        7.25206e+00        -2.33073e-01        0.00000e+00        0.00000e+00        0.00000e+00        -2.01040e-03 
 139.30        7.25187e+00        -2.20650e-01        0.00000e+00        0.00000e+00        0.00000e+00        -2.08239e-03 
 140.00        7.25167e+00        -2.08171e-01        0.00000e+00        0.00000e+00        0.00000e+00        -2.15467e-03 
 140.70        7.25146e+00        -1.95637e-01        0.00000e+00        0.00000e+00        0.00000e+00        -2.22727e-03 
 141.40        7.25124e+00        -1.83047e-01        0.00000e+00        0.00000e+00        0.00000e+00        -2.30020e-03 
 142.10        7.25099e+00        -1.70401e-01        0.00000e+00        0.00000e+00        0.00000e+00        -2.37348e-03 
 142.80        7.25073e+00        -1.57700e-01        0.00000e+00        0.00000e+00        0.00000e+00        -2.44712e-03 
 143.50        7.25044e+00        -1.44941e-01        0.00000e+00        0.00000e+00        0.00000e+00        -2.52113e-03 
 144.20        7.25013e+00        -1.32126e-01        0.00000e+00        0.00000e+00        0.00000e+00        -2.59554e-03 
 144.90        7.24980e+00        -1.19254e-01        0.00000e+00        0.00000e+00        0.00000e+00        -2.67036e-03 
 145.60        7.24944e+00        -1.06324e-01        0.00000e+00        0.00000e+00        0.00000e+00        -2.74559e-03 
 146.30        7.24905e+00        -9.33368e-02        0.00000e+00        0.00000e+00        0.00000e+00        -2.82126e-03 
 147.00        7.24862e+00        -8.02907e-02        0.00000e+00        0.00000e+00        0.00000e+00        -2.89739e-03 
 147.70        7.24816e+00        -6.71857e-02        0.00000e+00        0.00000e+00        0.00000e+00        -2.97397e-03 
 148.40        7.24767e+00        -5.40214e-02        0.00000e+00        0.00000e+00        0.00000e+00        -3.05104e-03 
 149.10        7.24714e+00        -4.07974e-02        0.00000e+00        0.00000e+00        0.00000e+00        -3.12860e-03 
 149.80        7.24656e+00        -2.75130e-02        0.00000e+00        0.00000e+00        0.00000e+00        -3.20667e-03 
 150.50        7.24594e+00        -1.41679e-02        0.00000e+00        0.00000e+00        0.00000e+00        -3.28526e-03 
 151.20        7.24528e+00        -7.61465e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.36439e-03 
 151.90        7.24457e+00        1.27068e-02        0.00000e+00        0.00000e+00        0.00000e+00        -3.44407e-03 
 152.60        7.24381e+00        2.62353e-02        0.00000e+00        0.00000e+00        0.00000e+00        -3.52386e-03 
 153.30        7.24300e+00        3.98218e-02        0.00000e+00        0.00000e+00        0.00000e+00        -3.60374e-03 
 154.00        7.24213e+00        5.34640e-02        0.00000e+00        0.00000e+00        0.00000e+00        -3.68368e-03 
 154.70        7.24120e+00        6.71595e-02        0.00000e+00        0.00000e+00        0.00000e+00        -3.76367e-03 
 155.40        7.24022e+00        8.09058e-02        0.00000e+00        0.00000e+00        0.00000e+00        -3.84369e-03 
 156.10        7.23917e+00        9.47006e-02        0.00000e+00        0.00000e+00        0.00000e+00        -3.92373e-03 
 156.80        7.23806e+00        1.08541e-01        0.00000e+00        0.00000e+00        0.00000e+00        -4.00377e-03 
 157.50        7.23688e+00        1.22426e-01        0.00000e+00        0.00000e+00        0.00000e+00        -4.08379e-03 
 158.20        7.23563e+00        1.36351e-01        0.00000e+00        0.00000e+00        0.00000e+00        -4.16378e-03 
 158.90        7.23431e+00        1.50315e-01        0.00000e+00        0.00000e+00        0.00000e+00        -4.24371e-03 
 159.60        7.23292e+00        1.64314e-01        0.00000e+00        0.00000e+00        0.00000e+00        -4.32359e-03 
 160.30        7.23145e+00        1.78347e-01        0.00000e+00        0.00000e+00        0.00000e+00        -4.40337e-03 
 161.00        7.22990e+00        1.92410e-01        0.00000e+00        0.00000e+00        0.00000e+00        -4.48306e-03 
 161.70        7.22827e+00        2.06501e-01        0.00000e+00        0.00000e+00        0.00000e+00        -4.56263e-03 
 162.40        7.22655e+00        2.20616e-01        0.00000e+00        0.00000e+00        0.00000e+00        -4.64207e-03 
 163.10        7.22475e+00        2.34755e-01        0.00000e+00        0.00000e+00        0.00000e+00        -4.72135e-03 
 163.80        7.22286e+00        2.48913e-01        0.00000e+00        0.00000e+00        0.00000e+00        -4.80046e-03 
 164.50        7.22088e+00        2.63087e-01        0.00000e+00        0.00000e+00        0.00000e+00        -4.87939e-03 
 165.20        7.21881e+00        2.77276e-01        0.00000e+00        0.00000e+00        0.00000e+00        -4.95811e-03 
 165.90        7.21664e+00        2.91476e-01        0.00000e+00        0.00000e+00        0.00000e+00        -5.03661e-03 
 166.60        7.21438e+00        3.05684e-01        0.00000e+00        0.00000e+00        0.00000e+00        -5.11487e-03 
 167.30        7.21202e+00        3.19898e-01        0.00000e+00        0.00000e+00        0.00000e+00        -5.19287e-03 
 168.00        7.20956e+00        3.34115e-01        0.00000e+00        0.00000e+00        0.00000e+00        -5.27059e-03 
 168.70        7.20699e+00        3.48331e-01        0.00000e+00        0.00000e+00        0.00000e+00        -5.34803e-03 
 169.40        7.20432e+00        3.62544e-01        0.00000e+00        0.00000e+00        0.00000e+00        -5.42516e-03 
 170.10        7.20154e+00        3.76752e-01        0.00000e+00        0.00000e+00        0.00000e+00        -5.50196e-03 
 170.80        7.19865e+00        3.90951e-01        0.00000e+00        0.00000e+00        0.00000e+00        -5.57841e-03 
 171.50        7.19565e+00        4.05138e-01        0.00000e+00        0.00000e+00        0.00000e+00        -5.65451e-03 
 172.20        7.19254e+00        4.19310e-01        0.00000e+00        0.00000e+00        0.00000e+00        -5.73023e-03 
